record_id,name,city,region,record_origin,primary_category,themes,archetype,evidence_strength,risk_flags,existing_short_description,extractor_supported_facts,extractor_geographic_context,extractor_historical_context,extractor_cultural_context,extractor_hard_constraints,extractor_missing_information,extractor_confidence,writer_description_map,writer_description_card,writer_factual_basis,writer_claims_avoided,writer_confidence,writer_risk_flags,critic_verdict,critic_issues,critic_suggested_rewrite_notes,critic_confidence,final_recommended_description,editorial_status,editorial_notes
93305076-46ca-40b0-9954-f22de94013a1,Archbishop Lamy's Chapel,santa-fe,new-mexico,database,history,,ritual_religious_site,high,generic_existing_description|needs_editorial_review|osm_only_identity_risk|historical_or_cultural_sensitivity,Historic site with strong local landscape context.,"[""Ground only to provided evidence."", ""Pilot row 13.""]","[""Santa Fe area context""]","[""Use cautious historical framing.""]","[""Avoid speaking for communities without explicit support.""]","[""Do not invent dates or people.""]","[""No additional source packet loaded in mock run.""]",medium,Mock map description for 93305076-46ca-40b0-9954-f22de94013a1.,Mock card description for 93305076-46ca-40b0-9954-f22de94013a1 grounded in the evidence packet and written conservatively for pilot review.,"[""Grounded to packet only""]","[""No invented chronology""]",medium,"[""mock_result""]",review,"[""Mock issue placeholder for review UI.""]","[""Tighten geographic specificity if sources allow.""]",medium,Mock card description for 93305076-46ca-40b0-9954-f22de94013a1 grounded in the evidence packet and written conservatively for pilot review.,,
53298569-1bf8-491b-9f21-2f007a702832,Digneo-Valdes House,santa-fe,new-mexico,database,history,,historic_site,high,generic_existing_description|needs_editorial_review|osm_only_identity_risk|historical_or_cultural_sensitivity,Historic site with strong local landscape context.,"[""Ground only to provided evidence."", ""Pilot row 12.""]","[""Santa Fe area context""]","[""Use cautious historical framing.""]","[""Avoid speaking for communities without explicit support.""]","[""Do not invent dates or people.""]","[""No additional source packet loaded in mock run.""]",medium,Mock map description for 53298569-1bf8-491b-9f21-2f007a702832.,Mock card description for 53298569-1bf8-491b-9f21-2f007a702832 grounded in the evidence packet and written conservatively for pilot review.,"[""Grounded to packet only""]","[""No invented chronology""]",medium,"[""mock_result""]",review,"[""Mock issue placeholder for review UI.""]","[""Tighten geographic specificity if sources allow.""]",medium,Mock card description for 53298569-1bf8-491b-9f21-2f007a702832 grounded in the evidence packet and written conservatively for pilot review.,,
e2995941-53da-4f98-9664-e3e67e70483f,Donaciano Vigil House,santa-fe,new-mexico,database,history,,historic_site,high,generic_existing_description|needs_editorial_review|osm_only_identity_risk|historical_or_cultural_sensitivity,Historic site with strong local landscape context.,"[""Ground only to provided evidence."", ""Pilot row 11.""]","[""Santa Fe area context""]","[""Use cautious historical framing.""]","[""Avoid speaking for communities without explicit support.""]","[""Do not invent dates or people.""]","[""No additional source packet loaded in mock run.""]",medium,Mock map description for e2995941-53da-4f98-9664-e3e67e70483f.,Mock card description for e2995941-53da-4f98-9664-e3e67e70483f grounded in the evidence packet and written conservatively for pilot review.,"[""Grounded to packet only""]","[""No invented chronology""]",medium,"[""mock_result""]",review,"[""Mock issue placeholder for review UI.""]","[""Tighten geographic specificity if sources allow.""]",medium,Mock card description for e2995941-53da-4f98-9664-e3e67e70483f grounded in the evidence packet and written conservatively for pilot review.,,
4e6dcfd7-a301-4c15-a3dc-4281a54ca072,El Camino Real de Tierra Adentro National Historic Trail - Ohkay Owingeh Branch - Santa Fe County,santa-fe,new-mexico,database,history,,rail_corridor,medium,generic_existing_description|needs_editorial_review|osm_only_identity_risk|historical_or_cultural_sensitivity,Historic site with strong local landscape context.,"[""Ground only to provided evidence."", ""Pilot row 17.""]","[""Santa Fe area context""]","[""Use cautious historical framing.""]","[""Avoid speaking for communities without explicit support.""]","[""Do not invent dates or people.""]","[""No additional source packet loaded in mock run.""]",medium,Mock map description for 4e6dcfd7-a301-4c15-a3dc-4281a54ca072.,Mock card description for 4e6dcfd7-a301-4c15-a3dc-4281a54ca072 grounded in the evidence packet and written conservatively for pilot review.,"[""Grounded to packet only""]","[""No invented chronology""]",medium,"[""mock_result""]",review,"[""Mock issue placeholder for review UI.""]","[""Tighten geographic specificity if sources allow.""]",medium,Mock card description for 4e6dcfd7-a301-4c15-a3dc-4281a54ca072 grounded in the evidence packet and written conservatively for pilot review.,,
bd4ac532-bd44-466f-bb95-f9384182b9da,El Camino Real de Tierra Adentro National Historic Trail - Santa Fe County,santa-fe,new-mexico,database,history,,rail_corridor,medium,generic_existing_description|needs_editorial_review|osm_only_identity_risk|historical_or_cultural_sensitivity,Historic site with strong local landscape context.,"[""Ground only to provided evidence."", ""Pilot row 16.""]","[""Santa Fe area context""]","[""Use cautious historical framing.""]","[""Avoid speaking for communities without explicit support.""]","[""Do not invent dates or people.""]","[""No additional source packet loaded in mock run.""]",medium,Mock map description for bd4ac532-bd44-466f-bb95-f9384182b9da.,Mock card description for bd4ac532-bd44-466f-bb95-f9384182b9da grounded in the evidence packet and written conservatively for pilot review.,"[""Grounded to packet only""]","[""No invented chronology""]",medium,"[""mock_result""]",review,"[""Mock issue placeholder for review UI.""]","[""Tighten geographic specificity if sources allow.""]",medium,Mock card description for bd4ac532-bd44-466f-bb95-f9384182b9da grounded in the evidence packet and written conservatively for pilot review.,,
4e7758b8-52c7-4c91-a945-6da9491b8eb4,El Zaguán,santa-fe,new-mexico,database,history,,historic_site,high,needs_editorial_review|osm_only_identity_risk|historical_or_cultural_sensitivity,Also known as the James L. Johnson House & Garden.,"[""Ground only to provided evidence."", ""Pilot row 10.""]","[""Santa Fe area context""]","[""Use cautious historical framing.""]","[""Avoid speaking for communities without explicit support.""]","[""Do not invent dates or people.""]","[""No additional source packet loaded in mock run.""]",medium,Mock map description for 4e7758b8-52c7-4c91-a945-6da9491b8eb4.,Mock card description for 4e7758b8-52c7-4c91-a945-6da9491b8eb4 grounded in the evidence packet and written conservatively for pilot review.,"[""Grounded to packet only""]","[""No invented chronology""]",medium,"[""mock_result""]",review,"[""Mock issue placeholder for review UI.""]","[""Tighten geographic specificity if sources allow.""]",medium,Mock card description for 4e7758b8-52c7-4c91-a945-6da9491b8eb4 grounded in the evidence packet and written conservatively for pilot review.,,
bf021f6a-a5d2-4367-aa56-3a1558eadf16,Fort Marcy (ruins),santa-fe,new-mexico,database,history,,historic_site,high,generic_existing_description|needs_editorial_review|osm_only_identity_risk|historical_or_cultural_sensitivity,Historic site with strong local landscape context.,"[""Ground only to provided evidence."", ""Pilot row 9.""]","[""Santa Fe area context""]","[""Use cautious historical framing.""]","[""Avoid speaking for communities without explicit support.""]","[""Do not invent dates or people.""]","[""No additional source packet loaded in mock run.""]",medium,Mock map description for bf021f6a-a5d2-4367-aa56-3a1558eadf16.,Mock card description for bf021f6a-a5d2-4367-aa56-3a1558eadf16 grounded in the evidence packet and written conservatively for pilot review.,"[""Grounded to packet only""]","[""No invented chronology""]",medium,"[""mock_result""]",review,"[""Mock issue placeholder for review UI.""]","[""Tighten geographic specificity if sources allow.""]",medium,Mock card description for bf021f6a-a5d2-4367-aa56-3a1558eadf16 grounded in the evidence packet and written conservatively for pilot review.,,
62030305-b42f-4cd8-ace8-bdcd3a469020,Grant Avenue,santa-fe,new-mexico,database,history,,historic_site,high,generic_existing_description|needs_editorial_review|osm_only_identity_risk|historical_or_cultural_sensitivity,Historic site with strong local landscape context.,"[""Ground only to provided evidence."", ""Pilot row 14.""]","[""Santa Fe area context""]","[""Use cautious historical framing.""]","[""Avoid speaking for communities without explicit support.""]","[""Do not invent dates or people.""]","[""No additional source packet loaded in mock run.""]",medium,Mock map description for 62030305-b42f-4cd8-ace8-bdcd3a469020.,Mock card description for 62030305-b42f-4cd8-ace8-bdcd3a469020 grounded in the evidence packet and written conservatively for pilot review.,"[""Grounded to packet only""]","[""No invented chronology""]",medium,"[""mock_result""]",review,"[""Mock issue placeholder for review UI.""]","[""Tighten geographic specificity if sources allow.""]",medium,Mock card description for 62030305-b42f-4cd8-ace8-bdcd3a469020 grounded in the evidence packet and written conservatively for pilot review.,,
f3748036-4f7f-4360-971b-e917948b2225,Gregorio Crespín House,santa-fe,new-mexico,database,history,,historic_site,high,generic_existing_description|needs_editorial_review|osm_only_identity_risk|historical_or_cultural_sensitivity,Historic site with strong local landscape context.,"[""Ground only to provided evidence."", ""Pilot row 8.""]","[""Santa Fe area context""]","[""Use cautious historical framing.""]","[""Avoid speaking for communities without explicit support.""]","[""Do not invent dates or people.""]","[""No additional source packet loaded in mock run.""]",medium,Mock map description for f3748036-4f7f-4360-971b-e917948b2225.,Mock card description for f3748036-4f7f-4360-971b-e917948b2225 grounded in the evidence packet and written conservatively for pilot review.,"[""Grounded to packet only""]","[""No invented chronology""]",medium,"[""mock_result""]",review,"[""Mock issue placeholder for review UI.""]","[""Tighten geographic specificity if sources allow.""]",medium,Mock card description for f3748036-4f7f-4360-971b-e917948b2225 grounded in the evidence packet and written conservatively for pilot review.,,
ded2294a-5d8d-46ed-b534-b4cc523f86f7,New Mexico School for the Arts,santa-fe,new-mexico,database,history,,historic_site,high,needs_editorial_review|osm_only_identity_risk|historical_or_cultural_sensitivity,former Santa Fe Builders Supply Company Building (SanBusCo),"[""Ground only to provided evidence."", ""Pilot row 7.""]","[""Santa Fe area context""]","[""Use cautious historical framing.""]","[""Avoid speaking for communities without explicit support.""]","[""Do not invent dates or people.""]","[""No additional source packet loaded in mock run.""]",medium,Mock map description for ded2294a-5d8d-46ed-b534-b4cc523f86f7.,Mock card description for ded2294a-5d8d-46ed-b534-b4cc523f86f7 grounded in the evidence packet and written conservatively for pilot review.,"[""Grounded to packet only""]","[""No invented chronology""]",medium,"[""mock_result""]",review,"[""Mock issue placeholder for review UI.""]","[""Tighten geographic specificity if sources allow.""]",medium,Mock card description for ded2294a-5d8d-46ed-b534-b4cc523f86f7 grounded in the evidence packet and written conservatively for pilot review.,,
