record_id,name,city,record_origin,primary_category,themes,archetype,evidence_strength,risk_flags,short_description
poi-rail-yard,Santa Fe Rail Yard District,santa-fe,fixture_overlay,civic,rail,rail_corridor,low,fixture_overlay|historical_or_cultural_sensitivity|theme_specific_claims_must_be_grounded,Former rail infrastructure turned civic corridor with strong labor and settlement traces.
poi-santa-fe-plaza,Santa Fe Plaza,santa-fe,fixture_overlay,culture,,civic_core,low,fixture_overlay|historical_or_cultural_sensitivity,"Historic civic core where colonial planning, commerce, and public life still intersect."
poi-cross-of-the-martyrs,Cross of the Martyrs Overlook,santa-fe,fixture_overlay,scenic,,overlook_landscape,low,fixture_overlay,Overlook with a strong topographic read on the city and visible historical framing.
poi-canyon-road-corridor,Canyon Road Arts Corridor,santa-fe,fixture_overlay,art,,art_site,low,fixture_overlay,Dense art corridor where street sequence and galleries read as a cultural landscape.
ec3e2ab8-b13a-49cc-a672-1448b2eaf0dd,Ricardo Alarid House,santa-fe,database,history,,historic_site,high,generic_existing_description|needs_editorial_review|osm_only_identity_risk|historical_or_cultural_sensitivity,Historic site with strong local landscape context.
58af7a4c-4889-4cb5-b7c2-e03da809349d,Randall Davey House,santa-fe,database,history,,historic_site,high,generic_existing_description|needs_editorial_review|osm_only_identity_risk|historical_or_cultural_sensitivity,Historic site with strong local landscape context.
ded2294a-5d8d-46ed-b534-b4cc523f86f7,New Mexico School for the Arts,santa-fe,database,history,,historic_site,high,needs_editorial_review|osm_only_identity_risk|historical_or_cultural_sensitivity,former Santa Fe Builders Supply Company Building (SanBusCo)
f3748036-4f7f-4360-971b-e917948b2225,Gregorio Crespín House,santa-fe,database,history,,historic_site,high,generic_existing_description|needs_editorial_review|osm_only_identity_risk|historical_or_cultural_sensitivity,Historic site with strong local landscape context.
bf021f6a-a5d2-4367-aa56-3a1558eadf16,Fort Marcy (ruins),santa-fe,database,history,,historic_site,high,generic_existing_description|needs_editorial_review|osm_only_identity_risk|historical_or_cultural_sensitivity,Historic site with strong local landscape context.
4e7758b8-52c7-4c91-a945-6da9491b8eb4,El Zaguán,santa-fe,database,history,,historic_site,high,needs_editorial_review|osm_only_identity_risk|historical_or_cultural_sensitivity,Also known as the James L. Johnson House & Garden.
e2995941-53da-4f98-9664-e3e67e70483f,Donaciano Vigil House,santa-fe,database,history,,historic_site,high,generic_existing_description|needs_editorial_review|osm_only_identity_risk|historical_or_cultural_sensitivity,Historic site with strong local landscape context.
53298569-1bf8-491b-9f21-2f007a702832,Digneo-Valdes House,santa-fe,database,history,,historic_site,high,generic_existing_description|needs_editorial_review|osm_only_identity_risk|historical_or_cultural_sensitivity,Historic site with strong local landscape context.
93305076-46ca-40b0-9954-f22de94013a1,Archbishop Lamy's Chapel,santa-fe,database,history,,ritual_religious_site,high,generic_existing_description|needs_editorial_review|osm_only_identity_risk|historical_or_cultural_sensitivity,Historic site with strong local landscape context.
62030305-b42f-4cd8-ace8-bdcd3a469020,Grant Avenue,santa-fe,database,history,,historic_site,high,generic_existing_description|needs_editorial_review|osm_only_identity_risk|historical_or_cultural_sensitivity,Historic site with strong local landscape context.
5d4a8077-cfdc-4c66-b396-af18a4995a97,The Santa Fe Plaza,santa-fe,database,civic,,civic_core,high,generic_existing_description|needs_editorial_review|osm_only_identity_risk|historical_or_cultural_sensitivity,Civic space that helps explain the structure of public life.
bd4ac532-bd44-466f-bb95-f9384182b9da,El Camino Real de Tierra Adentro National Historic Trail - Santa Fe County,santa-fe,database,history,,rail_corridor,medium,generic_existing_description|needs_editorial_review|osm_only_identity_risk|historical_or_cultural_sensitivity,Historic site with strong local landscape context.
4e6dcfd7-a301-4c15-a3dc-4281a54ca072,El Camino Real de Tierra Adentro National Historic Trail - Ohkay Owingeh Branch - Santa Fe County,santa-fe,database,history,,rail_corridor,medium,generic_existing_description|needs_editorial_review|osm_only_identity_risk|historical_or_cultural_sensitivity,Historic site with strong local landscape context.
027d8e3a-2850-43db-9f64-1496fd5a83ef,Tudesque House,santa-fe,database,history,,historic_site,high,generic_existing_description|needs_editorial_review|osm_only_identity_risk|historical_or_cultural_sensitivity,Historic site with strong local landscape context.
b7563bfb-d735-4987-9b40-f411d7e015d2,Superintendent's Residence,santa-fe,database,history,,historic_site,medium,generic_existing_description|needs_editorial_review|osm_only_identity_risk|historical_or_cultural_sensitivity,Historic site with strong local landscape context.
5e44cdf3-a12d-4816-af96-20f05a792137,Santa Fe County John Gaw Meem Historic Building,santa-fe,database,history,,historic_site,high,needs_editorial_review|osm_only_identity_risk|historical_or_cultural_sensitivity,site formerly had building that was the residence of Maria Gertrudis Barceló
