poi_id,dedupe_key,name,lon,lat,primary_category,display_priority,quality_score,walk_affinity_hint,drive_affinity_hint,wikipedia_title,short_description,description_map_v1,description_card_v1,description_subcategory_v1,description_confidence_v1,description_basis_v1,address,evidence_sources,preferred_aliases,active_themes,record_origin,source_basis,evidence_strength,description_status,description_method,description_review_status,claim_basis,risk_flags,merged_from,merge_reason
549ab511-f14c-44df-89c4-ec35624ffc07,osm:way/449793723,House of Eternal Return - Meow Wolf,-105.99652821781592,35.654655068835844,art,50,90,0.9,0.6,Meow_Wolf,Art space with strong corridor-level cultural identity.,"A gallery or art space on Rufina Circle in Santa Fe, useful for reading the commercial and cultural density created by clustered gallery space.",A gallery or art space on Rufina Circle in Santa Fe. It is most useful for reading the commercial and cultural density created by clustered gallery space. The point here is less a generic stop than a grounded way to read Santa Fe's landscape.,gallery_art_space,low,wikidata_id|wikipedia_title,1352 Rufina Circle,,,,database,osm_overpass|wikidata_id|wikipedia_title,low,generated_draft,deterministic_draft,unreviewed,wikidata_id|wikipedia_title,low_confidence|low_evidence,,
49acb389-f912-44bf-a69e-968362c5a05f,osm:node/357618433,KSWV-AM (Santa Fe),-105.966529,35.7012192,civic,50,90,0.55,0.9,KSWV,"Infrastructure trace that reveals labor, circulation, or water systems.","A tower landmark in Santa Fe, useful for reading vantage, circulation, and symbolic marking in the built landscape.","A tower landmark in Santa Fe. The source record identifies a tower used as a communication. It is most useful for reading vantage, circulation, and symbolic marking in the built landscape. The point here is less a generic stop than a grounded way to read Santa Fe's landscape.",infrastructure_landmark,medium,wikidata_id|wikipedia_title,,,,,database,osm_overpass|wikidata_id|wikipedia_title,medium,generated_draft,deterministic_draft,unreviewed,wikidata_id|wikipedia_title,civic_sensitivity,,
5d4a8077-cfdc-4c66-b396-af18a4995a97,osm:way/141165187,The Santa Fe Plaza,-105.93853096871283,35.68742062756601,civic,50,90,0.9,0.75,Santa_Fe_Plaza,Civic space that helps explain the structure of public life.,"A park at Santa Fe's Plaza civic core, with state and national register support, useful for reading everyday open space, terrain, and neighborhood use on the ground.","A park at Santa Fe's Plaza civic core. State and national register records both support its historic standing. It is also widely identified as Santa Fe Plaza. It is most useful for reading everyday open space, terrain, and neighborhood use on the ground.",civic_space_plaza,high,nrhp|state_register|historic_district|plaza_boundary|wikidata_id|wikipedia_title,63 Lincoln Avenue,city_gis_historic_districts|city_gis_plaza_park|nm_hpd_register_workbook|nrhp_listed_properties,Santa Fe Plaza,,database,osm_overpass|city_gis_historic_districts|city_gis_plaza_park|nm_hpd_register_workbook|nrhp_listed_properties|wikidata_id|wikipedia_title,high,generated_draft,deterministic_draft,unreviewed,nrhp|state_register|historic_district|plaza_boundary|wikidata_id|wikipedia_title,civic_sensitivity,,
60273036-5360-4df2-93bd-22a24e17add3,osm:way/493748674,Cristo Rey Catholic Church,-105.91748752722808,35.67878962770086,culture,50,90,0.55,0.6,Cristo_Rey_Church,Ritual or religious site with strong cultural continuity.,"A church or chapel on Cristo Rey Street within Santa Fe's mapped historic district fabric, useful for reading religious presence in the local built landscape.",A church or chapel on Cristo Rey Street within Santa Fe's mapped historic district fabric. City mapping places it within a historic district. It is most useful for reading religious presence in the local built landscape.,ritual_religious_site,medium,historic_district|wikidata_id|wikipedia_title,1107 Cristo Rey Street,city_gis_historic_districts,,,database,osm_overpass|city_gis_historic_districts|wikidata_id|wikipedia_title,medium,generated_draft,deterministic_draft,unreviewed,historic_district|wikidata_id|wikipedia_title,culture_sensitivity,,
304982de-c117-4256-b19e-fd42b36e21ea,osm:way/341359732,Kagyu Shenpen Kunchab Buddhist Center,-106.04089079831192,35.63539000883754,culture,50,90,0.55,0.6,Kagyu_Shenpen_Kunchab,Ritual or religious site with strong cultural continuity.,"A place of worship on Kaygu Shenpen Kunchab Lane in Santa Fe, useful for reading religious presence in the local built landscape.",A place of worship on Kaygu Shenpen Kunchab Lane in Santa Fe. It is most useful for reading religious presence in the local built landscape. The point here is less a generic stop than a grounded way to read Santa Fe's landscape.,ritual_religious_site,low,wikidata_id|wikipedia_title,3777 Kaygu Shenpen Kunchab Lane,,,,database,osm_overpass|wikidata_id|wikipedia_title,low,generated_draft,deterministic_draft,unreviewed,wikidata_id|wikipedia_title,low_confidence|low_evidence|culture_sensitivity,,
97bff2c8-2f06-4f85-bbc7-1826c01984b3,osm:way/480313827,Paolo Soleri Amphitheater,-105.96785134801671,35.67228892558755,culture,50,90,0.75,0.6,Paolo_Soleri_Amphitheater,Cultural venue that signals local performance and public life.,"A performance venue on Cerrillos Road in Santa Fe, useful for reading performance, film culture, and public life at street level.","A performance venue on Cerrillos Road in Santa Fe. The current record treats it as a theater or cinema venue. It is most useful for reading performance, film culture, and public life at street level.",performance_cultural_venue,medium,wikidata_id|wikipedia_title,1501 Cerrillos Road,,,,database,osm_overpass|wikidata_id|wikipedia_title,medium,generated_draft,deterministic_draft,unreviewed,wikidata_id|wikipedia_title,culture_sensitivity,,
57a6e1dd-5b17-4eea-9d70-241f0d365d73,osm:way/473190151,Our Lady of Guadalupe,-105.94512717175941,35.68693290863709,culture,50,90,0.55,0.6,Santuario_de_Guadalupe,Ritual or religious site with strong cultural continuity.,"A place of worship on Agua Fria Street within Santa Fe's mapped historic district fabric, with city historic-building support, useful for reading religious presence in the local built landscape.",A place of worship on Agua Fria Street within Santa Fe's mapped historic district fabric. City historic-building data marks it as significant. It is most useful for reading religious presence in the local built landscape.,ritual_religious_site,medium,historic_district|historic_building_status|wikidata_id|wikipedia_title,417 Agua Fria Street,city_gis_historic_building_status|city_gis_historic_districts|nm_hpd_register_workbook,Santuario de Nuestra Señora de Guadalupe|Nuestra Señora de Guadalupe Catholic Church,,database,osm_overpass|city_gis_historic_building_status|city_gis_historic_districts|wikidata_id|wikipedia_title,medium,generated_draft,deterministic_draft,unreviewed,historic_district|historic_building_status|wikidata_id|wikipedia_title,culture_sensitivity,osm:way/1212812771|osm:way/725191463,name+proximity
8c0859b6-fccf-4735-8011-aec647b6441d,osm:way/243866549,The Cathedral Basilica of Saint Francis of Assisi,-105.93614391085681,35.68648865817689,culture,50,90,0.55,0.6,Cathedral_Basilica_of_St._Francis_of_Assisi_(Santa_Fe),Ritual or religious site with strong cultural continuity.,"A place of worship on Cathedral Place within Santa Fe's mapped historic district fabric, with city historic-building support, useful for reading religious presence in the local built landscape.",A place of worship on Cathedral Place within Santa Fe's mapped historic district fabric. City historic-building data marks it as significant. It is most useful for reading religious presence in the local built landscape. The point here is less a generic stop than a grounded way to read Santa Fe's landscape.,ritual_religious_site,medium,historic_district|historic_building_status|wikidata_id|wikipedia_title,231 Cathedral Place,city_gis_historic_building_status|city_gis_historic_districts,,,database,osm_overpass|city_gis_historic_building_status|city_gis_historic_districts|wikidata_id|wikipedia_title,medium,generated_draft,deterministic_draft,unreviewed,historic_district|historic_building_status|wikidata_id|wikipedia_title,culture_sensitivity,,
69f29723-1169-4fba-a24f-7f853ffa9fa3,osm:way/461696638,The Lensic,-105.94106467946786,35.6878999210288,culture,50,90,0.75,0.6,Lensic_Theater,Cultural venue that signals local performance and public life.,"A performance venue on West San Francisco Street within Santa Fe's mapped historic district fabric, with city historic-building support, useful for reading performance, film culture, and public life at street level.","A performance venue on West San Francisco Street within Santa Fe's mapped historic district fabric. City historic-building data marks it as significant. The current record treats it as a theater or cinema venue. It is most useful for reading performance, film culture, and public life at street level.",performance_cultural_venue,medium,historic_district|historic_building_status|wikidata_id|wikipedia_title,211 West San Francisco Street,city_gis_historic_building_status|city_gis_historic_districts,,,database,osm_overpass|city_gis_historic_building_status|city_gis_historic_districts|wikidata_id|wikipedia_title,medium,generated_draft,deterministic_draft,unreviewed,historic_district|historic_building_status|wikidata_id|wikipedia_title,culture_sensitivity,,
1aab4550-d2b0-4ab3-9caa-e06260446232,osm:way/461729156,De Vargas Street House,-105.9374209813306,35.68358348651408,history,50,90,0.75,0.75,De_Vargas_Street_House,Museum or interpretive site with clear historical context.,"A history museum on East de Vargas Street within Santa Fe's mapped historic district fabric, with state register support, useful for reading how domestic, civic, or interpretive history has been staged for public reading.","A history museum on East de Vargas Street within Santa Fe's mapped historic district fabric. State register records support its historic standing. It is also widely identified as Oldest House. It is most useful for reading how domestic, civic, or interpretive history has been staged for public reading.",museum,high,state_register|historic_district|wikidata_id|wikipedia_title,215 East de Vargas Street,city_gis_historic_districts|nm_hpd_register_workbook,Oldest House,,database,osm_overpass|city_gis_historic_districts|nm_hpd_register_workbook|wikidata_id|wikipedia_title,high,generated_draft,deterministic_draft,unreviewed,state_register|historic_district|wikidata_id|wikipedia_title,history_sensitivity,,
